
2025/04/08 (19:06:04) | ===> btop++ v.1.2.13
2025/04/08 (19:06:04) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/08 (19:06:07) | ===> btop++ v.1.2.13
2025/04/08 (19:06:07) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/08 (19:06:08) | ===> btop++ v.1.2.13
2025/04/08 (19:06:08) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/08 (19:06:09) | ===> btop++ v.1.2.13
2025/04/08 (19:06:09) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/08 (19:06:10) | ===> btop++ v.1.2.13
2025/04/08 (19:06:10) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2025/04/08 (19:06:10) | ===> btop++ v.1.2.13
2025/04/08 (19:06:10) | ERROR: Exception in runner thread -> Cpu:: -> key not found
